NonincrementalInitialCreationMax,IsectMax,AcceptsTermMax,MinifyMax,NonincrementalAcceptsTermMax,Test,InitialCreationMax,NonincrementalMinifyTotal,NonincrementalIsectMax,NonincrementalAcceptsTermTotal,NonincrementalMinifyMax,NonincrementalMinEltMax,NonincrementalIsectTotal,AcceptsTermTotal,MinEltTotal,NonincrementalMinEltTotal,MinifyTotal,IsectTotal,MinEltMax,NonincrementalComputationTime,ComputationTime,NonincrementalInitialCreationTotal,InitialCreationTotal
0,0,0,0,0,bool-always-true,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.04,0,0
0,0,0,0,0,bool-band,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.04,0,0
0,0,0,0,0,bool-bor,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.04,0.01,0
0,0,0,0,0,bool-impl,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.04,0,0
0,0,0,0,0,bool-neg,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.04,0,0
0,0,0,0,0,bool-xor,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.04,0,0
0,0,0,0,0,list-append,0,0.01,0,0,0,0,0.01,0,0,0.01,0,0.01,0,1.02,1.05,0.04,0.02
t/o,7.34,0,0.64,t/o,list-compress,0.03,t/o,t/o,t/o,t/o,t/o,t/o,0,12.26,t/o,9.45,15.95,1.58,t/o,64.33,t/o,0.11
0.01,0,0,0,0,list-concat,0.01,0,0,0,0,0,0,0,0,0,0,0,0,2.57,2.41,0.03,0.01
0.01,0.03,0,0.01,0,list-drop,0.01,0.06,0.07,0,0.03,0.06,0.14,0,0.04,0.15,0.01,0.04,0.04,1.18,0.92,0.11,0.04
0,0,0,0,0,list-even-parity,0.01,0.01,0,0,0,0,0.02,0,0.01,0.01,0,0.01,0,0.24,0.18,0.02,0.01
0.01,0.01,0,0,0,list-filter,0.01,0.02,0.01,0,0,0.01,0.06,0,0.02,0.03,0.01,0.03,0.01,1.80,1.77,0.11,0.03
0.02,0.87,0,0.56,0,list-fold,0.02,0.21,0.06,0,0.02,0.08,0.35,0,5.08,0.38,2.57,3.42,1.62,3.88,15.79,1.56,0.12
0,0,0,0,0,list-hd,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40,0.38,0.01,0
0.01,0,0,0,0,list-inc,0.01,0,0,0,0,0,0,0,0,0,0,0,0,1.78,1.64,0.02,0.01
0,0,0,0,0,list-last,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44,0.39,0.01,0
0,0,0,0,0,list-length,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38,0.39,0.01,0
0.02,0.01,0,0,0,list-map,0.02,0.01,0.01,0,0,0,0.01,0,0.01,0.01,0,0.01,0,2.99,2.92,0.18,0.07
0.01,0.01,0,0,0,list-nth,0.01,0.01,0.01,0,0,0.01,0.03,0,0.01,0.02,0.01,0.02,0.01,1.28,1.24,0.11,0.04
0.05,0.01,0,0,0,list-pairwise-swap,0.05,0.01,0.01,0,0,0,0.02,0,0.02,0.02,0.01,0.02,0.01,1.11,1.05,0.29,0.21
0.02,0,0,0,0,list-rev-append,0.02,0.01,0,0,0,0,0.01,0,0,0.01,0,0.01,0,1.80,1.75,0.11,0.06
0.02,0,0,0,0,list-rev-fold,0.01,0,0,0,0,0,0,0,0,0,0,0,0,2.12,1.98,0.04,0.03
0.01,0,0,0,0,list-rev-snoc,0.01,0,0,0,0,0,0,0,0,0,0,0.01,0,1.50,1.54,0.04,0.03
t/o,t/o,t/o,t/o,t/o,list-rev-tailcall,t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o
0.01,0,0,0,0,list-snoc,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.93,0.93,0.07,0.03
0.05,0.47,0,0.16,0,list-sort-sorted-insert,0.05,0.19,0.43,0,0.17,0.14,0.48,0,0.21,0.16,0.20,0.57,0.16,4.16,4.24,0.20,0.10
0.04,0.07,0,0.02,0,list-sorted-insert,0.04,0.06,0.04,0,0.01,0.03,0.18,0,0.10,0.10,0.06,0.18,0.04,6.34,5.50,0.71,0.22
0.36,0.18,0,0.05,0,list-stutter,0.40,0.06,0.19,0,0.06,0.21,0.19,0,0.20,0.21,0.05,0.18,0.20,3.49,3.42,1.31,1.25
