,SimpleMinEltMax,NonincrementalInitialCreationMax,RandomMinEltMax,IsectMax,RandomMinEltTotal,AcceptsTermMax,MinifyMax,NonincrementalAcceptsTermMax,Test,InitialCreationMax,SimpleAcceptsTermTotal,NonincrementalLoopCount,RandomMinifyTotal,NonincrementalMinifyTotal,SimpleMinifyMax,RandomFullSynthMax,FullSynth,NonincrementalIsectMax,RandomInitialCreationMax,SimpleComputationTime,SimpleMinEltTotal,SimpleFullSynthMax,NonincrementalAcceptsTermTotal,NonincrementalMinifyMax,NonincrementalMinEltMax,NonincrementalComputationTime,SimpleLoopCount,NonincrementalIsectTotal,LoopCount,SimpleIsectTotal,RandomComputationTime,AcceptsTermTotal,MinEltTotal,RandomAcceptsTermMax,NonincrementalMinEltTotal,FullSynthMax,SimpleFullSynth,RandomInitialCreationTotal,SimpleAcceptsTermMax,IsectTotal,SimpleInitialCreationMax,MinEltMax,NonincrementalFullSynth,NonincrementalFullSynthMax,MinifyTotal,RandomIsectTotal,RandomLoopCount,ComputationTime,NonincrementalInitialCreationTotal,SimpleMinifyTotal,RandomMinifyMax,InitialCreationTotal,RandomIsectMax,RandomAcceptsTermTotal,RandomFullSynth,SimpleIsectMax,SimpleInitialCreationTotal,SynquidTime,LeonTime,Correct,LeonCorrect,SynquidCorrect
0,0,0,0,0,0,0,0,0,bool-always-false,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0.02,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0.30,0.04,\correct,\correct,\correct
1,0,0,0,0,0,0,0,0,bool-always-true,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0.03,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0.31,0.07,\correct,\correct,\correct
2,0,0,0,0,0,0,0,0,bool-band,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0.03,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0.32,6.57,\correct,\correct,\correct
3,0,0,0,0,0,0,0,0,bool-bor,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0.04,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.01,0,0,0,0,0,0,0,0.01,0.30,6.62,\correct,\correct,\correct
4,0,0,0,0,0,0,0,0,bool-impl,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0.03,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0.31,6.61,\correct,\correct,\correct
5,0,0,0,0,0,0,0,0,bool-neg,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0.03,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0.29,1.63,\correct,\correct,\correct
6,0,0,0,0,0,0,0,0,bool-xor,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0.04,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0.31,3.60,\correct,\correct,\correct
7,0,0,0.01,0,0.03,0,0,0,list-append,0,0,0,0.12,0.01,0,0,0,0,0.01,0.85,0.01,0,0,0,0,0.89,0,0.01,0,0.01,1.32,0,0,0,0.01,0,0,0.11,0,0.01,0,0,0,0,0.01,0.07,0,0.88,0.04,0.01,0.01,0.02,0.02,0,0,0,0.04,0.51,44.28,\correct,\correct,\correct
8,\incorrect,\incorrect,\incorrect,1.12,\incorrect,0,0.50,\incorrect,list-compress,0.08,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,0,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,0,\incorrect,\incorrect,0,2.18,\incorrect,\incorrect,0,\incorrect,\incorrect,\incorrect,1.68,\incorrect,1.60,\incorrect,\incorrect,1.02,\incorrect,\incorrect,9.61,\incorrect,\incorrect,\incorrect,0.49,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\correct,\na,\na
9,0,0,0.01,0,0.02,0,0,0,list-concat,0.01,0,0,0.05,0,0,0,0,0,0.01,2.25,0,0,0,0,0,2.39,0,0,0,0,2.59,0,0,0,0,0,0,0.06,0,0,0.01,0,0,0,0,0.05,0,2.28,0.03,0,0.01,0.02,0.03,0,0,0,0.02,0.39,11.57,\correct,\incorrect,\correct
10,0.02,0.01,0.02,0.08,0.11,0,0.03,0,list-drop,0.01,0,0,0.33,0.02,0.03,0,0,0.02,0.01,1.20,0.03,0,0,0.01,0.03,0.92,0,0.04,0,0.27,2.14,0,0.14,0,0.05,0,0,0.14,0,0.15,0.01,0.06,0,0,0.07,0.81,0,1.13,0.08,0.11,0.12,0.08,0.54,0,0,0.09,0.11,0.58,51.04,\correct,\correct,\correct
11,0,0,0.03,0,0.14,0,0,0,list-even-parity,0,0,0,1.42,0.01,0,0,0,0,0,0.23,0,0,0,0,0,18.67,0,0.02,0,0.02,2.42,0,0.01,0,0.01,0,0,0.05,0,0.01,0,0,0,0,0.01,0.40,0,0.19,0.02,0.01,0.04,0.01,0.09,0,0,0,0.02,\incorrect,42.82,\correct,\correct,\na
12,0.01,0,0.02,0.01,0.07,0,0,0,list-filter,0.01,0,0,0.82,0.02,0.01,0,0,0.01,0.01,1.41,0.01,0,0,0,0.01,1.50,0,0.05,0,0.06,3.08,0,0.01,0,0.03,0,0,0.08,0,0.03,0.01,0.01,0,0,0.04,0.36,0,1.51,0.09,0.03,0.04,0.04,0.12,0,0,0.01,0.09,\incorrect,\incorrect,\correct,\na,\na
13,0.12,0.02,\incorrect,0.07,\incorrect,0,0.03,0,list-fold,0.02,0,0,\incorrect,0.26,0.05,\incorrect,0,0.06,\incorrect,4.35,2.56,0,0,0.02,0.06,4.32,0,0.43,0,0.29,\incorrect,0,0.29,\incorrect,0.43,0,0,\incorrect,0,0.33,0.01,0.07,0,0,0.21,\incorrect,\incorrect,3.44,1.83,0.14,\incorrect,1.33,\incorrect,\incorrect,\incorrect,0.12,0.20,\incorrect,\incorrect,\correct,\na,\na
14,0,0,0,0,0,0,0,0,list-hd,0,0,0,0,0,0,0,0,0,0,0.32,0,0,0,0,0,0.30,0,0,0,0,0.30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0.29,3.82,\correct,\correct,\correct
15,0,0.01,0,0,0,0,0,0,list-inc,0.01,0,0,0,0,0,0,0,0,0.01,1.73,0,0,0,0,0,1.68,0,0,0,0,1.67,0,0,0,0,0,0,0.01,0,0,0.01,0,0,0,0,0,0,1.68,0.02,0,0,0.01,0,0,0,0,0.01,0.48,5.30,\correct,\correct,\correct
16,0,0,0,0,0.03,0,0,0,list-last,0,0,0,0.11,0,0,0,0,0,0,0.40,0,0,0,0,0,0.42,0,0,0,0,0.57,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0.07,0,0.43,0.01,0,0.01,0.01,0.02,0,0,0,0.01,\incorrect,12.30,\correct,\correct,\na
17,0,0,0,0,0,0,0,0,list-length,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0.36,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40,0.01,0,0,0,0,0,0,0,0.01,\incorrect,8.45,\correct,\correct,\na
18,0,0.02,0,0,0.01,0,0,0,list-map,0.02,0,0,0.04,0.01,0,0,0,0.01,0.02,2.72,0,0,0,0,0,2.74,0,0.01,0,0.01,2.90,0,0,0,0.01,0,0,0.13,0,0,0.02,0,0,0,0,0.04,0,2.87,0.17,0.01,0.01,0.10,0.02,0,0,0.01,0.13,\incorrect,\incorrect,\correct,\na,\na
19,0,0.01,0.03,0.01,0.09,0,0,0,list-nth,0.01,0,0,0.24,0.01,0,0,0,0.01,0.01,1.12,0,0,0,0,0.01,1.19,0,0.02,0,0.01,2.24,0,0.01,0,0.02,0,0,0.66,0,0.02,0.01,0.01,0,0,0.02,0.18,0,1.13,0.10,0.01,0.02,0.05,0.05,0,0,0,0.07,\incorrect,\incorrect,\correct,\na,\na
20,0,0.04,0.02,0.01,0.59,0,0,0,list-pairwise-swap,0.04,0,0,2.14,0.01,0,0,0,0.01,0.07,0.89,0.01,0,0,0,0,1.02,0,0.03,0,0.03,15.26,0,0.02,0,0.02,0,0,8.58,0,0.02,0.05,0,0,0,0.02,1.64,0,0.90,0.26,0.02,0.02,0.18,0.08,0,0,0,0.24,\incorrect,37.27,\correct,\incorrect,\na
21,0,0.02,0,0,0,0,0,0,list-rev-append,0.02,0,0,0,0.01,0,0,0,0,0.02,1.45,0,0,0,0,0,1.45,0,0.01,0,0.01,1.42,0,0.01,0,0.01,0,0,0.07,0,0.01,0.02,0,0,0,0.01,0.01,0,1.53,0.09,0.01,0,0.08,0,0,0,0,0.08,\incorrect,12.87,\correct,\correct,\na
22,0,0.01,0,0,0,0,0,0,list-rev-fold,0.02,0,0,0,0,0,0,0,0,0.01,1.98,0,0,0,0,0,1.91,0,0,0,0,1.94,0,0,0,0,0,0,0.03,0,0,0.01,0,0,0,0,0,0,1.97,0.03,0,0,0.03,0,0,0,0,0.03,\incorrect,13.87,\correct,\correct,\na
23,0,0.01,\incorrect,0,\incorrect,0,0,0,list-rev-snoc,0.01,0,0,\incorrect,0,0,\incorrect,0,0,\incorrect,1.47,0,0,0,0,0,1.45,0,0,0,0.01,\incorrect,0,0,\incorrect,0,0,0,\incorrect,0,0,0.01,0,0,0,0,\incorrect,\incorrect,1.43,0.04,0,\incorrect,0.03,\incorrect,\incorrect,\incorrect,0,0.03,\incorrect,13.57,\incorrect,\incorrect,\na
24,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,list-rev-tailcall,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\na,\na,\na
25,0,0.01,0.93,0,1.36,0,0,0,list-snoc,0.01,0,0,0.77,0,0,0,0,0,0.03,0.83,0,0,0,0,0,0.87,0,0,0,0,6.38,0,0,0,0,0,0,0.38,0,0,0.01,0,0,0,0,1.75,0,0.87,0.07,0,0.44,0.07,1.11,0,0,0,0.03,0.40,27.68,\correct,\correct,\correct
26,0.09,0.04,\incorrect,0.38,\incorrect,0,0.15,0,list-sort-sorted-insert,0.04,0,0,\incorrect,0.17,0.17,\incorrect,0,0.39,\incorrect,4.76,0.10,0,0,0.15,0.15,4.08,0,0.43,0,1.15,\incorrect,0,0.16,\incorrect,0.17,0,0,\incorrect,0,0.41,0.05,0.15,0,0,0.19,\incorrect,\incorrect,11.79,0.18,0.43,\incorrect,0.12,\incorrect,\incorrect,\incorrect,0.48,0.20,\incorrect,7.53,\correct,\correct,\na
27,\incorrect,0.03,\incorrect,0.05,\incorrect,0,0.01,0,list-sorted-insert,0.03,\incorrect,0,\incorrect,0.06,\incorrect,\incorrect,0,0.04,\incorrect,\incorrect,\incorrect,\incorrect,0,0.01,0.02,4.38,\incorrect,0.14,0,\incorrect,\incorrect,0,0.08,\incorrect,0.08,0,\incorrect,\incorrect,\incorrect,0.17,\incorrect,0.02,0,0,0.09,\incorrect,\incorrect,4.78,0.56,\incorrect,\incorrect,0.43,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\correct,\na,\na
28,0.07,0.36,\incorrect,0.19,\incorrect,0,0.06,0,list-stutter,0.35,0,0,\incorrect,0.06,0.06,\incorrect,0,0.19,\incorrect,3.03,0.07,0,0,0.06,0.22,3.17,0,0.19,0,0.29,\incorrect,0,0.22,\incorrect,0.22,0,0,\incorrect,0,0.20,0.37,0.22,0,0,0.06,\incorrect,\incorrect,3.11,1.22,0.10,\incorrect,1.16,\incorrect,\incorrect,\incorrect,0.17,1.22,0.44,8.36,\correct,\correct,\correct
29,0,0.01,0,0,0,0,0,0,list-sum,0.01,0,0,0,0,0,0,0,0,0.01,17.35,0,0,0,0,0,1.08,0,0,0,0,1.04,0,0,0,0,0,0,0.02,0,0,0.01,0,0,0,0,0,0,1.04,0.02,0,0,0.01,0,0,0,0,0.01,0.44,12.15,\correct,\correct,\correct
