MinEltMax,AcceptsTermTotal,IsectMax,InitialCreationTotal,ComputationTime,AcceptsTermMax,MinifyMax,MinifyTotal,Test,InitialCreationMax,IsectTotal,MinEltTotal
0,0,0,0,0.02,0,0,0,bool-always-false,0,0,0
0,0,0,0,0.02,0,0,0,bool-always-true,0,0,0
0,0,0,0,0.04,0,0,0,bool-band,0,0,0
0,0,0,0,0.04,0,0,0,bool-bor,0,0,0
0,0,0,0,0.04,0,0,0,bool-impl,0,0,0
0,0,0,0,0.04,0,0,0,bool-neg,0,0,0
0,0,0,0,0.04,0,0,0,bool-xor,0,0,0
0,0,0,0,0.71,0,0,0,list-append,0,0,0
err,err,err,err,err,err,err,err,list-compress,err,err,err
0,0,0,0,1.60,0,0,0,list-concat,0,0,0
err,err,err,err,err,err,err,err,list-drop,err,err,err
0,0,0,0,0.27,0,0,0,list-even-parity,0,0,0
err,err,err,err,err,err,err,err,list-filter,err,err,err
0,0,0,0,1.36,0,0,0,list-fold,0,0,0
0,0,0,0,0.35,0,0,0,list-hd,0,0,0
0,0,0,0,0.85,0,0,0,list-inc,0,0,0
0,0,0,0,0.70,0,0,0,list-last,0,0,0
0,0,0,0,0.59,0,0,0,list-length,0,0,0
0,0,0,0,1.17,0,0,0,list-map,0,0,0
0,0,0,0,0.69,0,0,0,list-nth,0,0,0
err,err,err,err,err,err,err,err,list-pairwise-swap,err,err,err
err,err,err,err,err,err,err,err,list-rev-append,err,err,err
err,err,err,err,err,err,err,err,list-rev-fold,err,err,err
err,err,err,err,err,err,err,err,list-rev-snoc,err,err,err
0,0,0,0,0.77,0,0,0,list-rev-tailcall,0,0,0
0,0,0,0,0.75,0,0,0,list-snoc,0,0,0
0,0,0,0,2.23,0,0,0,list-sort-sorted-insert,0,0,0
0,0,0,0,14.66,0,0,0,list-sorted-insert,0,0,0
0,0,0,0,0.69,0,0,0,list-stutter,0,0,0
0,0,0,0,1.23,0,0,0,list-sum,0,0,0
0,0,0,0,0.70,0,0,0,list-take,0,0,0
0,0,0,0,0.35,0,0,0,list-tl,0,0,0
0,0,0,0,0.13,0,0,0,nat-add,0,0,0
0,0,0,0,0.04,0,0,0,nat-iseven,0,0,0
0,0,0,0,0.23,0,0,0,nat-max,0,0,0
0,0,0,0,0.04,0,0,0,nat-pred,0,0,0
t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,tree-binsert,t/o,t/o,t/o
0,0,0,0,8.94,0,0,0,tree-collect-leaves,0,0,0
0,0,0,0,9.99,0,0,0,tree-count-leaves,0,0,0
0,0,0,0,9.33,0,0,0,tree-count-nodes,0,0,0
0,0,0,0,12.93,0,0,0,tree-inorder,0,0,0
0,0,0,0,9.80,0,0,0,tree-map,0,0,0
0,0,0,0,29.43,0,0,0,tree-nodes-at-level,0,0,0
t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,tree-postorder,t/o,t/o,t/o
0,0,0,0,13.21,0,0,0,tree-preorder,0,0,0
